,StateDesc,CityName,PopulationCount,GeoLocation,CityFIPS
447446,Missouri,Springfield,159498,"(37.1942661484, -93.2914273656)",2970000.0
449004,Montana,Billings,104170,"(45.7893102609, -108.54882784)",3006550.0
449840,Montana,Missoula,66788,"(46.8694402455, -114.009863843)",3050200.0
450344,Nebraska,Lincoln,258379,"(40.8096195695, -96.6806742049)",3128000.0
452346,Nebraska,Omaha,408958,"(41.2642309111, -96.0415076441)",3137000.0
456560,Nevada,Henderson,257729,"(36.0122394916, -115.037392161)",3231900.0
458515,Nevada,Las Vegas,583756,"(36.2274148438, -115.262670095)",3240000.0
462934,Nevada,North Las Vegas,216961,"(36.2891993562, -115.088496088)",3251800.0
464385,Nevada,Reno,225221,"(39.5540171998, -119.852733516)",3260600.0
466419,Nevada,Sparks,90264,"(39.573373276, -119.713134168)",3268400.0
467200,New Hampshire,Manchester,109565,"(42.9844541713, -71.4445313287)",3345140.0
468068,New Hampshire,Nashua,86494,"(42.7491554459, -71.4909587631)",3350260.0
468627,New Jersey,Camden,77344,"(39.9361910066, -75.1072961899)",3410000.0
469215,New Jersey,Clifton,84136,"(40.8631217425, -74.1575145342)",3413690.0
469719,New Jersey,Elizabeth,124969,"(40.6664447729, -74.1938679138)",3421000.0
470503,New Jersey,Jersey City,247597,"(40.7188130852, -74.0687740635)",3436000.0
472409,New Jersey,Newark,277140,"(40.7260693449, -74.1752997118)",3451000.0
474897,New Jersey,Passaic,69781,"(40.8574581109, -74.1281123174)",3456550.0
475345,New Jersey,Paterson,146199,"(40.9146874977, -74.1624181271)",3457000.0
476325,New Jersey,Trenton,84913,"(40.2237289981, -74.7639943311)",3474000.0
477081,New Jersey,Union City,66455,"(40.7674606884, -74.032293507)",3474630.0
477640,New Mexico,Albuquerque,545852,"(35.1055025771, -106.647447696)",3502000.0
481539,New Mexico,Rio Rancho,87521,"(35.287307935, -106.697981552)",3563460.0
481612,New Mexico,Las Cruces,97618,"(32.326638797, -106.789465579)",3539380.0
482946,New Mexico,Santa Fe,67947,"(35.6662719601, -105.972662995)",3570500.0
483914,New York,Albany,97856,"(42.6663969604, -73.7986826267)",3601000.0
484697,New York,Buffalo,261310,"(42.9014518233, -78.8475237264)",3611000.0
486959,New York,Mount Vernon,67292,"(40.9136008569, -73.8291001676)",3649121.0
487575,New York,New Rochelle,77062,"(40.9321713141, -73.7843883178)",3650617.0
488051,New York,New York,8175133,"(40.694960689, -73.9313850409)",3651000.0
547962,New York,Rochester,210565,"(43.1679802918, -77.6162348882)",3663000.0
550325,New York,Schenectady,66135,"(42.8025204414, -73.9275333869)",3665508.0
550941,New York,Syracuse,145170,"(43.0409202097, -76.1437679213)",3673000.0
552562,New York,Yonkers,195976,"(40.9465025597, -73.8636959965)",3684000.0
554046,North Carolin,Asheville,83393,"(35.5708251391, -82.5537350816)",3702140.0
555018,North Carolin,Cary,135234,"(35.7814978722, -78.8152191642)",3710740.0
556218,North Carolin,Charlotte,731424,"(35.2078721969, -80.8300754645)",3712000.0
561876,North Carolin,Concord,79066,"(35.3939316958, -80.6352429349)",3714100.0
562588,North Carolin,Durham,228330,"(35.9809147402, -78.9059161097)",3719000.0
564385,North Carolin,Fayetteville,200564,"(35.0851309527, -78.9791676456)",3722920.0
565910,North Carolin,Gastonia,71741,"(35.2472984431, -81.1836588468)",3725580.0
566995,North Carolin,Greensboro,269666,"(36.0960480415, -79.8276833061)",3728000.0
569329,North Carolin,Greenville,84554,"(35.5959211876, -77.3766133673)",3728080.0
570053,North Carolin,High Point,104371,"(35.9881243803, -79.9932956384)",3731400.0
571088,North Carolin,Jacksonville,70145,"(34.7331103037, -77.3951822819)",3734200.0
571610,North Carolin,Raleigh,403892,"(35.8322080933, -78.6440243809)",3755000.0
574365,North Carolin,Wilmington,106476,"(34.2102758569, -77.8872842368)",3774440.0
575289,North Carolin,Winston-Salem,229617,"(36.1029453039, -80.2609889241)",3775000.0
575386,North Dakota,Fargo,105549,"(46.8652457832, -96.8289882328)",3825700.0
578107,Ohio,Akron,199110,"(41.0801444942, -81.5219213688)",3901000.0
580059,Ohio,Canton,73007,"(40.8080192662, -81.3676594998)",3912000.0
580949,Ohio,Cincinnati,296943,"(39.1411747124, -84.5060004524)",3915000.0
