,State,Place,CityFIPS,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
176,12,17200,1217200,"Deltona city, Florida",85415.0,38.0,47049.0,19893.0,12159.0,14.23520458935784,5.597377509805069
177,12,24000,1224000,"Fort Lauderdale city, Florida",168603.0,42.3,49119.0,35605.0,34269.0,20.325261116350244,6.839735947758936
178,12,25175,1225175,"Gainesville city, Florida",125845.0,25.0,32492.0,19616.0,38991.0,30.983352536850887,4.840875680400493
179,12,30000,1230000,"Hialeah city, Florida",228943.0,42.6,29961.0,14321.0,55681.0,24.320900835579163,6.6536212070253296
180,12,32000,1232000,"Hollywood city, Florida",143273.0,41.7,45585.0,26069.0,21942.0,15.314818563162634,7.18558276856072
181,12,35000,1235000,"Jacksonville city, Florida",829721.0,35.5,47557.0,25374.0,140150.0,16.891220060719206,6.1636381386032175
182,12,38250,1238250,"Lakeland city, Florida",98970.0,40.3,39513.0,22921.0,18223.0,18.412650298070123,6.15641103364656
183,12,39425,1239425,"Largo city, Florida",77898.0,47.7,39735.0,26364.0,11516.0,14.783434748003799,6.3326401191301445
184,12,39550,1239550,"Lauderhill city, Florida",68216.0,35.3,37074.0,18557.0,15552.0,22.79817051718072,8.74428286618975
185,12,43975,1243975,"Melbourne city, Florida",76768.0,44.8,40662.0,24502.0,11548.0,15.042726135889954,6.6681429762401
186,12,45000,1245000,"Miami city, Florida",407526.0,39.0,30375.0,21120.0,119610.0,29.35027458370754,6.755397201650938
187,12,45025,1245025,"Miami Beach city, Florida",89412.0,39.3,43316.0,42085.0,14944.0,16.71364022726256,3.4178857424059412
188,12,45060,1245060,"Miami Gardens city, Florida",109150.0,33.6,42040.0,16627.0,22878.0,20.960146587265232,8.091617040769583
189,12,45975,1245975,"Miramar city, Florida",124900.0,33.9,62649.0,24901.0,11903.0,9.530024019215372,6.495596477181746
190,12,53000,1253000,"Orlando city, Florida",244931.0,32.8,42147.0,25805.0,46177.0,18.85306474068207,6.76721199031564
191,12,54000,1254000,"Palm Bay city, Florida",103602.0,40.2,43076.0,20467.0,18989.0,18.328796741375648,6.345437346769367
192,12,54200,1254200,"Palm Coast city, Florida",76455.0,46.1,47099.0,22651.0,13363.0,17.47825518278726,4.910077823556341
193,12,55775,1255775,"Pembroke Pines city, Florida",157324.0,39.9,62116.0,28539.0,12884.0,8.189468866797183,5.519183341384658
194,12,57425,1257425,"Plantation city, Florida",86999.0,40.8,65567.0,35163.0,7866.0,9.041483235439488,4.7230427935953285
195,12,58050,1258050,"Pompano Beach city, Florida",101749.0,42.4,40221.0,25559.0,22105.0,21.725029238616596,7.048717923517676
196,12,58715,1258715,"Port St. Lucie city, Florida",166641.0,39.7,48962.0,22810.0,26759.0,16.057872912428515,7.565365066220198
197,12,63000,1263000,"St. Petersburg city, Florida",246642.0,41.8,45044.0,27972.0,40714.0,16.50732640831651,6.108448682706109
198,12,69700,1269700,"Sunrise city, Florida",86834.0,38.7,48642.0,23524.0,10937.0,12.595296773153374,5.710896653384619
199,12,70600,1270600,"Tallahassee city, Florida",183638.0,26.1,39524.0,23778.0,51478.0,28.032324464435465,7.238153323386228
200,12,71000,1271000,"Tampa city, Florida",343768.0,34.8,43242.0,29009.0,71191.0,20.709024691070724,6.519804053896814
201,12,76600,1276600,"West Palm Beach city, Florida",100778.0,39.9,44897.0,29955.0,19025.0,18.878128162892693,5.93581932564647
202,13,01052,1301052,"Albany city, Georgia",77196.0,31.6,28717.0,16731.0,25305.0,32.78019586507073,7.979688066739209
203,13,03440,1303440,"Athens-Clarke County unified government (balance), Georgia",117749.0,26.1,32853.0,19199.0,39552.0,33.59009418339009,4.410228536972713
204,13,04000,1304000,"Atlanta city, Georgia",432589.0,33.2,46631.0,35890.0,101369.0,23.433097004315876,7.178638384240006
205,13,04204,1304204,"Augusta-Richmond County consolidated government (balance), Georgia",196395.0,33.1,37560.0,20555.0,47815.0,24.34634282950177,5.82601390055755
206,13,19000,1319000,"Columbus city, Georgia",194949.0,33.3,41339.0,22856.0,35819.0,18.373523331743172,5.155194435467738
207,13,42425,1342425,"Johns Creek city, Georgia",79352.0,37.9,109224.0,43790.0,3925.0,4.946315152737171,3.8070874080048394
208,13,49000,1349000,"Macon city, Georgia",91316.0,33.2,25773.0,16051.0,30230.0,33.10482281308862,6.757851855096588
209,13,67284,1367284,"Roswell city, Georgia",90959.0,38.9,79579.0,41875.0,8170.0,8.982068844204532,4.244769621477809
210,13,68516,1368516,"Sandy Springs city, Georgia",96584.0,35.2,63134.0,49964.0,11935.0,12.357119191584527,4.401350120102708
211,13,69000,1369000,"Savannah city, Georgia",139620.0,31.6,35838.0,19900.0,34417.0,24.65047987394356,5.757771092966624
212,13,80508,1380508,"Warner Robins city, Georgia",69695.0,31.1,44964.0,21194.0,14112.0,20.24822440634192,5.779467680608365
213,13,80508,1380508,"Warner Robins city, Georgia",69695.0,31.1,44964.0,21194.0,14112.0,20.24822440634192,5.779467680608365
214,16,08830,1608830,"Boise City city, Idaho",209726.0,35.8,48524.0,27978.0,32129.0,15.319512125344497,4.832018919924091
