,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State,City,CityFIPS
326725,50.0,-23.0,74.0,27.0,97.0,Illinois,Naperville,1751622.0
327814,50.0,-21.0,74.0,29.0,103.0,Illinois,Palatine,1757225.0
328290,52.0,-20.0,77.0,29.0,104.0,Illinois,Peoria,1759000.0
329382,49.0,-25.0,74.0,26.0,102.0,Illinois,Rockford,1765000.0
330997,50.0,-23.0,75.0,29.0,103.0,Illinois,Schaumburg,1768003.0
331778,53.0,-14.0,78.0,30.0,103.0,Illinois,Springfield,1772000.0
333070,47.0,-23.0,72.0,26.0,104.0,Illinois,Waukegan,1779293.0
333854,52.0,-16.0,77.0,29.0,103.0,Indiana,Bloomington,1805860.0
334520,53.0,-13.0,76.0,31.0,102.0,Indiana,Carmel,1810342.0
334995,56.0,-3.0,80.0,34.0,107.0,Indiana,Evansville,1822000.0
336274,53.0,-13.0,76.0,31.0,102.0,Indiana,Fishers,1823278.0
336582,50.0,-15.0,75.0,28.0,103.0,Indiana,Fort Wayne,1825000.0
338865,52.0,-20.0,76.0,30.0,100.0,Indiana,Gary,1827000.0
339798,52.0,-20.0,76.0,30.0,100.0,Indiana,Hammond,1831000.0
340385,53.0,-14.0,77.0,31.0,105.0,Indiana,Indianapolis,1836003.0
346348,51.0,-18.0,75.0,28.0,101.0,Indiana,Lafayette,1840788.0
347046,52.0,-13.0,76.0,29.0,97.0,Indiana,Muncie,1851876.0
347822,49.0,-20.0,74.0,27.0,100.0,Indiana,South Bend,1871000.0
349132,48.0,-25.0,73.0,24.0,102.0,Iowa,Cedar Rapids,1912000.0
350243,50.0,-26.0,76.0,24.0,100.0,Iowa,Davenport,1919000.0
351245,52.0,-20.0,78.0,28.0,105.0,Iowa,Des Moines,1921000.0
352977,50.0,-24.0,74.0,26.0,105.0,Iowa,Iowa City,1938595.0
353509,49.0,-24.0,77.0,22.0,104.0,Iowa,Sioux City,1973335.0
354208,47.0,-26.0,73.0,21.0,103.0,Iowa,Waterloo,1982425.0
355020,57.0,-7.0,81.0,35.0,105.0,Kansas,Kansas City,2036000.0
356830,54.0,-15.0,81.0,28.0,107.0,Kansas,Lawrence,2038900.0
358230,55.0,-9.0,79.0,32.0,103.0,Kansas,Overland Park,2053775.0
