,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State_x,City,CityFIPS,State_y,Place,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
57,68.0,27.0,90.0,47.0,112.0,California,Fresno,627000.0,06,27000,"Fresno city, California",500819.0,29.6,42015.0,19455.0,142471.0,28.44760282657008,7.137508760650055
58,66.0,32.0,90.0,51.0,111.0,California,Fullerton,628000.0,06,28000,"Fullerton city, California",136702.0,34.4,67384.0,29913.0,21438.0,15.68228701847815,5.569779520416673
59,63.0,32.0,86.0,49.0,109.0,California,Garden Grove,629000.0,06,29000,"Garden Grove city, California",172785.0,35.6,59648.0,20849.0,28535.0,16.514743756691843,5.753392944989438
60,66.0,31.0,90.0,49.0,112.0,California,Glendale,630000.0,06,30000,"Glendale city, California",193381.0,40.7,53020.0,29290.0,27239.0,14.085665086021894,5.794261070115471
61,64.0,34.0,83.0,53.0,110.0,California,Hawthorne,632548.0,06,32548,"Hawthorne city, California",85092.0,31.1,44649.0,20162.0,16196.0,19.03351666431627,5.31424810793024
62,58.0,30.0,78.0,45.0,101.0,California,Hayward,633000.0,06,33000,"Hayward city, California",147163.0,33.8,62013.0,25208.0,20931.0,14.223004423666275,7.541297744677671
63,63.0,22.0,90.0,41.0,109.0,California,Hemet,633182.0,06,33182,"Hemet city, California",79986.0,39.6,32774.0,17917.0,18460.0,23.079038831795565,7.438801790313305
64,65.0,12.0,89.0,40.0,112.0,California,Hesperia,633434.0,06,33434,"Hesperia city, California",90804.0,31.1,44158.0,16239.0,22730.0,25.031936919078454,7.757367516849478
65,63.0,32.0,86.0,49.0,109.0,California,Huntington Beach,636000.0,06,36000,"Huntington Beach city, California",193197.0,40.6,81389.0,42196.0,17045.0,8.822600765022232,5.066331257731745
66,74.0,19.0,99.0,48.0,123.0,California,Indio,636448.0,06,36448,"Indio city, California",80167.0,32.2,50068.0,20607.0,17333.0,21.621115920515923,7.398306036149537
67,64.0,34.0,83.0,53.0,110.0,California,Inglewood,636546.0,06,36546,"Inglewood city, California",110585.0,33.0,43394.0,20150.0,24470.0,22.127775014694578,7.4657503278021435
68,65.0,35.0,85.0,53.0,107.0,California,Irvine,636770.0,06,36770,"Irvine city, California",221266.0,34.2,90585.0,43096.0,25971.0,11.737456274348522,3.7538528287219908
69,65.0,35.0,85.0,53.0,107.0,California,Lake Forest,639496.0,06,39496,"Lake Forest city, California",78253.0,38.4,93631.0,39860.0,4646.0,5.937152569230572,3.9180606494319705
70,65.0,35.0,88.0,51.0,109.0,California,Lakewood,639892.0,06,39892,"Lakewood city, California",80511.0,37.7,77786.0,29354.0,6538.0,8.1206294792016,4.73599880761635
71,63.0,9.0,89.0,38.0,111.0,California,Lancaster,640130.0,06,40130,"Lancaster city, California",157368.0,32.3,50193.0,20156.0,32236.0,20.484469523664277,5.248843475166488
72,60.0,24.0,86.0,42.0,109.0,California,Livermore,641992.0,06,41992,"Livermore city, California",82442.0,38.4,99161.0,42213.0,4694.0,5.6936998132020085,3.909415103951869
73,65.0,35.0,88.0,51.0,109.0,California,Long Beach,643000.0,06,43000,"Long Beach city, California",465424.0,33.9,52711.0,27040.0,92847.0,19.948906803258964,6.537479803362095
74,63.0,37.0,82.0,51.0,102.0,California,Los Angeles,644000.0,06,44000,"Los Angeles city, California",3827261.0,34.3,49497.0,27829.0,825131.0,21.55930834087354,6.421014924250006
75,65.0,35.0,88.0,51.0,109.0,California,Lynwood,644574.0,06,44574,"Lynwood city, California",70257.0,27.9,40740.0,12187.0,16951.0,24.127133239392517,5.852797586005665
76,64.0,22.0,87.0,42.0,110.0,California,Manteca,645484.0,06,45484,"Manteca city, California",69168.0,33.0,61458.0,23511.0,7411.0,10.714492250751793,8.182974786028222
